time,altitude,latitude,longitude,chlor_a,,,,,,,,,,November 2013-January 2014,,,,,latitude,longitude,chlor_a
november,m,degrees_north,degrees_east,mg m^-3,,december,,,,,,january,,,,,,total,degrees_north,degrees_east,mg m^-3
2013-11-01T12:00:00Z,0,44.56875,-128.00625,0.58469903,,2013-12-01T12:00:00Z,0,44.56875,-128.00625,0.41164473,,2014-01-01T12:00:00Z,0,44.56875,-128.00625,0.39761755,,,44.56875,-128.00625,0.46465377
2013-11-01T12:00:00Z,0,44.56875,-127.96875,0.5592822,,2013-12-01T12:00:00Z,0,44.56875,-127.96875,0.41355756,,2014-01-01T12:00:00Z,0,44.56875,-127.96875,0.4664897,,,44.56875,-127.96875,0.479776487
2013-11-01T12:00:00Z,0,44.56875,-127.93125,0.4550591,,2013-12-01T12:00:00Z,0,44.56875,-127.93125,0.4484224,,2014-01-01T12:00:00Z,0,44.56875,-127.93125,0.4746779,,,44.56875,-127.93125,0.459386467
2013-11-01T12:00:00Z,0,44.56875,-127.89375,0.45012933,,2013-12-01T12:00:00Z,0,44.56875,-127.89375,0.48682,,2014-01-01T12:00:00Z,0,44.56875,-127.89375,0.46219546,,,44.56875,-127.89375,0.466381597
2013-11-01T12:00:00Z,0,44.56875,-127.85625,0.47013715,,2013-12-01T12:00:00Z,0,44.56875,-127.85625,0.47955203,,2014-01-01T12:00:00Z,0,44.56875,-127.85625,0.4677901,,,44.56875,-127.85625,0.472493093
2013-11-01T12:00:00Z,0,44.56875,-127.81875,0.44845352,,2013-12-01T12:00:00Z,0,44.56875,-127.81875,0.4471073,,2014-01-01T12:00:00Z,0,44.56875,-127.81875,0.47555274,,,44.56875,-127.81875,0.457037853
2013-11-01T12:00:00Z,0,44.56875,-127.78125,0.43958703,,2013-12-01T12:00:00Z,0,44.56875,-127.78125,0.4482046,,2014-01-01T12:00:00Z,0,44.56875,-127.78125,0.48114905,,,44.56875,-127.78125,0.45631356
2013-11-01T12:00:00Z,0,44.56875,-127.74375,0.4405457,,2013-12-01T12:00:00Z,0,44.56875,-127.74375,0.47853696,,2014-01-01T12:00:00Z,0,44.56875,-127.74375,0.47423896,,,44.56875,-127.74375,0.46444054
2013-11-01T12:00:00Z,0,44.56875,-127.70625,0.4170509,,2013-12-01T12:00:00Z,0,44.56875,-127.70625,0.3322992,,2014-01-01T12:00:00Z,0,44.56875,-127.70625,0.47853583,,,44.56875,-127.70625,0.40929531
2013-11-01T12:00:00Z,0,44.56875,-127.66875,0.4232204,,2013-12-01T12:00:00Z,0,44.56875,-127.66875,0.3065655,,2014-01-01T12:00:00Z,0,44.56875,-127.66875,0.46798947,,,44.56875,-127.66875,0.399258457
2013-11-01T12:00:00Z,0,44.56875,-127.63125,0.4135277,,2013-12-01T12:00:00Z,0,44.56875,-127.63125,0.36366317,,2014-01-01T12:00:00Z,0,44.56875,-127.63125,0.47295722,,,44.56875,-127.63125,0.41671603
2013-11-01T12:00:00Z,0,44.56875,-127.59375,0.41988027,,2013-12-01T12:00:00Z,0,44.56875,-127.59375,0.4652922,,2014-01-01T12:00:00Z,0,44.56875,-127.59375,0.44039264,,,44.56875,-127.59375,0.441855037
2013-11-01T12:00:00Z,0,44.56875,-127.55625,0.4860363,,2013-12-01T12:00:00Z,0,44.56875,-127.55625,0.3842715,,2014-01-01T12:00:00Z,0,44.56875,-127.55625,0.4339739,,,44.56875,-127.55625,0.434760567
2013-11-01T12:00:00Z,0,44.56875,-127.51875,0.5104078,,2013-12-01T12:00:00Z,0,44.56875,-127.51875,0.30163246,,2014-01-01T12:00:00Z,0,44.56875,-127.51875,0.46736875,,,44.56875,-127.51875,0.42646967
2013-11-01T12:00:00Z,0,44.56875,-127.48125,0.5098373,,2013-12-01T12:00:00Z,0,44.56875,-127.48125,0.30564797,,2014-01-01T12:00:00Z,0,44.56875,-127.48125,0.49782145,,,44.56875,-127.48125,0.437768907
2013-11-01T12:00:00Z,0,44.56875,-127.44375,0.44659236,,2013-12-01T12:00:00Z,0,44.56875,-127.44375,0.31103507,,2014-01-01T12:00:00Z,0,44.56875,-127.44375,0.4721481,,,44.56875,-127.44375,0.409925177
2013-11-01T12:00:00Z,0,44.56875,-127.40625,0.43333307,,2013-12-01T12:00:00Z,0,44.56875,-127.40625,0.32445467,,2014-01-01T12:00:00Z,0,44.56875,-127.40625,0.5193764,,,44.56875,-127.40625,0.42572138
2013-11-01T12:00:00Z,0,44.56875,-127.36875,0.43748587,,2013-12-01T12:00:00Z,0,44.56875,-127.36875,0.3476736,,2014-01-01T12:00:00Z,0,44.56875,-127.36875,0.46209818,,,44.56875,-127.36875,0.41575255
2013-11-01T12:00:00Z,0,44.56875,-127.33125,0.4433935,,2013-12-01T12:00:00Z,0,44.56875,-127.33125,0.41647902,,2014-01-01T12:00:00Z,0,44.56875,-127.33125,0.49512395,,,44.56875,-127.33125,0.45166549
2013-11-01T12:00:00Z,0,44.56875,-127.29375,0.4371779,,2013-12-01T12:00:00Z,0,44.56875,-127.29375,0.38278586,,2014-01-01T12:00:00Z,0,44.56875,-127.29375,0.43738353,,,44.56875,-127.29375,0.419115763
2013-11-01T12:00:00Z,0,44.56875,-127.25625,0.45127475,,2013-12-01T12:00:00Z,0,44.56875,-127.25625,0.26104698,,2014-01-01T12:00:00Z,0,44.56875,-127.25625,0.38483354,,,44.56875,-127.25625,0.365718423
2013-11-01T12:00:00Z,0,44.56875,-127.21875,0.44834173,,2013-12-01T12:00:00Z,0,44.56875,-127.21875,0.3562186,,2014-01-01T12:00:00Z,0,44.56875,-127.21875,0.42878073,,,44.56875,-127.21875,0.411113687
2013-11-01T12:00:00Z,0,44.56875,-127.18125,0.46996805,,2013-12-01T12:00:00Z,0,44.56875,-127.18125,0.29356068,,2014-01-01T12:00:00Z,0,44.56875,-127.18125,0.42413345,,,44.56875,-127.18125,0.395887393
2013-11-01T12:00:00Z,0,44.56875,-127.14375,0.4882246,,2013-12-01T12:00:00Z,0,44.56875,-127.14375,0.29494616,,2014-01-01T12:00:00Z,0,44.56875,-127.14375,0.44561708,,,44.56875,-127.14375,0.409595947
2013-11-01T12:00:00Z,0,44.56875,-127.10625,0.48656914,,2013-12-01T12:00:00Z,0,44.56875,-127.10625,0.33391407,,2014-01-01T12:00:00Z,0,44.56875,-127.10625,0.4760008,,,44.56875,-127.10625,0.432161337
2013-11-01T12:00:00Z,0,44.56875,-127.06875,0.4870817,,2013-12-01T12:00:00Z,0,44.56875,-127.06875,0.30679077,,2014-01-01T12:00:00Z,0,44.56875,-127.06875,0.4580865,,,44.56875,-127.06875,0.417319657
2013-11-01T12:00:00Z,0,44.56875,-127.03125,0.47460413,,2013-12-01T12:00:00Z,0,44.56875,-127.03125,0.24186349,,2014-01-01T12:00:00Z,0,44.56875,-127.03125,0.49750504,,,44.56875,-127.03125,0.404657553
2013-11-01T12:00:00Z,0,44.56875,-126.99375,0.4813887,,2013-12-01T12:00:00Z,0,44.56875,-126.99375,0.23864256,,2014-01-01T12:00:00Z,0,44.56875,-126.99375,0.51711184,,,44.56875,-126.99375,0.412381033
2013-11-01T12:00:00Z,0,44.56875,-126.95625,0.4885902,,2013-12-01T12:00:00Z,0,44.56875,-126.95625,0.3012167,,2014-01-01T12:00:00Z,0,44.56875,-126.95625,0.5097123,,,44.56875,-126.95625,0.433173067
2013-11-01T12:00:00Z,0,44.56875,-126.91875,0.51209164,,2013-12-01T12:00:00Z,0,44.56875,-126.91875,0.304743,,2014-01-01T12:00:00Z,0,44.56875,-126.91875,0.4562656,,,44.56875,-126.91875,0.424366747
2013-11-01T12:00:00Z,0,44.56875,-126.88125,0.515688,,2013-12-01T12:00:00Z,0,44.56875,-126.88125,0.3687419,,2014-01-01T12:00:00Z,0,44.56875,-126.88125,0.506919,,,44.56875,-126.88125,0.463782967
2013-11-01T12:00:00Z,0,44.56875,-126.84375,0.51077455,,2013-12-01T12:00:00Z,0,44.56875,-126.84375,0.36833286,,2014-01-01T12:00:00Z,0,44.56875,-126.84375,0.46174297,,,44.56875,-126.84375,0.446950127
2013-11-01T12:00:00Z,0,44.56875,-126.80625,0.5016647,,2013-12-01T12:00:00Z,0,44.56875,-126.80625,0.4043812,,2014-01-01T12:00:00Z,0,44.56875,-126.80625,0.4530215,,,44.56875,-126.80625,0.453022467
2013-11-01T12:00:00Z,0,44.56875,-126.76875,0.67405915,,2013-12-01T12:00:00Z,0,44.56875,-126.76875,0.4044118,,2014-01-01T12:00:00Z,0,44.56875,-126.76875,0.46972623,,,44.56875,-126.76875,0.516065727
2013-11-01T12:00:00Z,0,44.56875,-126.73125,0.70025283,,2013-12-01T12:00:00Z,0,44.56875,-126.73125,0.4512773,,2014-01-01T12:00:00Z,0,44.56875,-126.73125,0.550483,,,44.56875,-126.73125,0.56733771
2013-11-01T12:00:00Z,0,44.56875,-126.69375,0.5723725,,2013-12-01T12:00:00Z,0,44.56875,-126.69375,0.3425017,,2014-01-01T12:00:00Z,0,44.56875,-126.69375,0.46037987,,,44.56875,-126.69375,0.458418023
2013-11-01T12:00:00Z,0,44.56875,-126.65625,0.5214263,,2013-12-01T12:00:00Z,0,44.56875,-126.65625,0.43765908,,2014-01-01T12:00:00Z,0,44.56875,-126.65625,0.5167508,,,44.56875,-126.65625,0.491945393
2013-11-01T12:00:00Z,0,44.56875,-126.61875,0.52568847,,2013-12-01T12:00:00Z,0,44.56875,-126.61875,0.47148445,,2014-01-01T12:00:00Z,0,44.56875,-126.61875,0.52693164,,,44.56875,-126.61875,0.508034853
2013-11-01T12:00:00Z,0,44.56875,-126.58125,0.5398606,,2013-12-01T12:00:00Z,0,44.56875,-126.58125,0.49873438,,2014-01-01T12:00:00Z,0,44.56875,-126.58125,0.53102994,,,44.56875,-126.58125,0.523208307
2013-11-01T12:00:00Z,0,44.56875,-126.54375,0.611985,,2013-12-01T12:00:00Z,0,44.56875,-126.54375,0.459742,,2014-01-01T12:00:00Z,0,44.56875,-126.54375,0.51596624,,,44.56875,-126.54375,0.52923108
2013-11-01T12:00:00Z,0,44.56875,-126.50625,0.61596984,,2013-12-01T12:00:00Z,0,44.56875,-126.50625,0.53110385,,2014-01-01T12:00:00Z,0,44.56875,-126.50625,0.48917663,,,44.56875,-126.50625,0.545416773
2013-11-01T12:00:00Z,0,44.56875,-126.46875,0.6156995,,2013-12-01T12:00:00Z,0,44.56875,-126.46875,0.5054271,,2014-01-01T12:00:00Z,0,44.56875,-126.46875,0.4981096,,,44.56875,-126.46875,0.5397454
2013-11-01T12:00:00Z,0,44.56875,-126.43125,0.55773944,,2013-12-01T12:00:00Z,0,44.56875,-126.43125,0.45079136,,2014-01-01T12:00:00Z,0,44.56875,-126.43125,0.4929939,,,44.56875,-126.43125,0.500508233
2013-11-01T12:00:00Z,0,44.56875,-126.39375,0.6150873,,2013-12-01T12:00:00Z,0,44.56875,-126.39375,1.0518066,,2014-01-01T12:00:00Z,0,44.56875,-126.39375,0.5411941,,,44.56875,-126.39375,0.736029333
2013-11-01T12:00:00Z,0,44.56875,-126.35625,0.6166934,,2013-12-01T12:00:00Z,0,44.56875,-126.35625,0.40462393,,2014-01-01T12:00:00Z,0,44.56875,-126.35625,0.5373602,,,44.56875,-126.35625,0.519559177
2013-11-01T12:00:00Z,0,44.56875,-126.31875,0.6140582,,2013-12-01T12:00:00Z,0,44.56875,-126.31875,0.39704478,,2014-01-01T12:00:00Z,0,44.56875,-126.31875,0.56462395,,,44.56875,-126.31875,0.52524231
2013-11-01T12:00:00Z,0,44.56875,-126.28125,0.5878687,,2013-12-01T12:00:00Z,0,44.56875,-126.28125,0.65490115,,2014-01-01T12:00:00Z,0,44.56875,-126.28125,0.59936666,,,44.56875,-126.28125,0.614045503
2013-11-01T12:00:00Z,0,44.56875,-126.24375,0.5798614,,2013-12-01T12:00:00Z,0,44.56875,-126.24375,0.4541974,,2014-01-01T12:00:00Z,0,44.56875,-126.24375,0.53222054,,,44.56875,-126.24375,0.522093113
2013-11-01T12:00:00Z,0,44.56875,-126.20625,0.5742909,,2013-12-01T12:00:00Z,0,44.56875,-126.20625,0.6178518,,2014-01-01T12:00:00Z,0,44.56875,-126.20625,0.60640657,,,44.56875,-126.20625,0.599516423
